Service_Request_Type,Police_Precinct,Method_Received,Status,Year,Month,Request_Count
Streetlight Maintenance,NORTH,Citizen Web Intake App,Reported,2024,9,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Phone,Closed,2023,11,54
Parking Enforcement,WEST,Citizen Web Intake App,Closed,2022,8,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2024,2,54
Scooter or Bike Share Issue,SOUTHWEST,Find It Fix It Apps,Closed,2021,7,54
Graffiti,EAST,Find It Fix It Apps,Closed,2023,2,54
General Inquiry - Transportation,NORTH,Find It Fix It Apps,New,2024,11,54
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Closed,2024,10,54
Unauthorized Encampment,WEST,Citizen Web Intake App,Closed,2024,12,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2023,5,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2024,8,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2023,3,54
Parking Enforcement,WEST,Citizen Web Intake App,Closed,2021,5,54
Graffiti,EAST,Find It Fix It Apps,Closed,2021,7,54
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2025,1,54
General Inquiry - Transportation,NORTH,E-Mail,Closed,2023,1,54
Illegal Dumping / Needles,NORTH,Phone,Closed,2021,8,54
Abandoned Vehicle/72hr Parking Ordinance,WEST,Citizen Web Intake App,Closed,2023,9,54
Illegal Dumping / Needles,EAST,Find It Fix It Apps,Duplicate (Closed),2022,9,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Citizen Web Intake App,Closed,2023,9,54
General Inquiry - Customer Service Bureau,NORTH,Citizen Web Intake App,Transferred to Other Dept,2024,6,54
Abandoned Vehicle/72hr Parking Ordinance,WEST,Citizen Web Intake App,Closed,2023,6,54
Pothole,NORTH,Citizen Web Intake App,Reported,2023,4,54
General Inquiry - Transportation,NORTH,E-Mail,Closed,2023,4,54
Parking Enforcement,EAST,Citizen Web Intake App,Closed,2021,5,54
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2021,3,54
Pothole,NORTH,Citizen Web Intake App,Reported,2024,3,54
Abandoned Vehicle/72hr Parking Ordinance,EAST,Phone,Closed,2024,3,54
General Inquiry - Customer Service Bureau,SOUTH,Find It Fix It Apps,Closed,2022,5,54
Streetlight Maintenance,SOUTH,Find It Fix It Apps,Reported,2022,10,54
Street Sign and Traffic Signal Maintenance,SOUTHWEST,Find It Fix It Apps,Reported,2021,1,54
General Inquiry - Transportation,NORTH,E-Mail,Closed,2024,3,54
Pothole,SOUTHWEST,Find It Fix It Apps,Reported,2022,11,54
General Inquiry - Customer Service Bureau,NORTH,Citizen Web Intake App,Closed,2022,2,54
General Inquiry - Customer Service Bureau,SOUTH,Find It Fix It Apps,Closed,2021,3,54
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2022,10,54
General Inquiry - Transportation,NORTH,E-Mail,Closed,2025,1,54
Graffiti,SOUTH,Find It Fix It Apps,Reported,2024,5,54
General Inquiry - Customer Service Bureau,EAST,Citizen Web Intake App,Closed,2022,4,54
Pothole,NORTH,Citizen Web Intake App,Reported,2022,4,54
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2022,4,54
Graffiti,NORTH,Find It Fix It Apps,Closed,2021,6,54
General Inquiry - City Light,NORTH,Citizen Web Intake App,Closed,2024,12,54
Overgrown Vegetation,NORTH,Find It Fix It Apps,Closed,2021,11,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Phone,Closed,2023,9,54
Parking Enforcement,WEST,Find It Fix It Apps,Reported,2025,1,54
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Reported,2023,5,54
Streetlight Maintenance,WEST,Find It Fix It Apps,Reported,2024,8,54
Streetlight Maintenance,NORTH,Find It Fix It Apps,Reported,2024,6,54
Unauthorized Encampment,SOUTH,Mass Entry,Closed,2024,12,54
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2022,9,53
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2024,7,53
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Phone,Closed,2024,11,53
Streetlight Maintenance,WEST,Find It Fix It Apps,Reported,2025,4,53
Traffic Signal Maintenance,NORTH,Find It Fix It Apps,Reported,2024,3,53
Streetlight Maintenance,NORTH,Find It Fix It Apps,Reported,2025,4,53
General Inquiry - Transportation,EAST,Find It Fix It Apps,Closed,2022,9,53
Street Sign Maintenance,SOUTH,Find It Fix It Apps,Reported,2024,6,53
General Inquiry - Customer Service Bureau,EAST,Find It Fix It Apps,Reported,2023,8,53
General Inquiry - Customer Service Bureau,EAST,Find It Fix It Apps,Transferred to Other Dept,2021,2,53
Clogged Storm Drain,NORTH,Find It Fix It Apps,Closed,2023,10,53
Traffic Signal Maintenance,SOUTH,Find It Fix It Apps,Reported,2023,9,53
Unauthorized Encampment,SOUTH,Mass Entry,Closed,2025,1,53
Parking Enforcement,EAST,Citizen Web Intake App,Closed,2022,9,53
Graffiti,EAST,Find It Fix It Apps,Closed,2022,7,53
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Duplicate (Closed),2023,11,53
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Duplicate (Closed),2021,6,53
General Inquiry - City Light,NORTH,Citizen Web Intake App,Closed,2024,8,53
General Inquiry - Transportation,NORTH,E-Mail,Closed,2021,5,53
Unauthorized Encampment,WEST,Citizen Web Intake App,Closed,2022,9,53
Unauthorized Encampment,WEST,Citizen Web Intake App,Closed,2023,7,53
General Inquiry - Customer Service Bureau,EAST,Find It Fix It Apps,Closed,2024,7,53
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2021,3,53
Graffiti,EAST,PremierOne CSR Mobile Apps,Closed,2021,8,53
Parking Enforcement,NORTH,Citizen Web Intake App,Reported,2023,1,53
General Inquiry - Transportation,EAST,Find It Fix It Apps,Closed,2022,8,53
General Inquiry - Transportation,WEST,Find It Fix It Apps,Closed,2021,5,53
Illegal Dumping / Needles,EAST,Find It Fix It Apps,Duplicate (Closed),2022,7,53
Parking Enforcement,SOUTH,Find It Fix It Apps,Closed,2023,5,53
General Inquiry - City Light,NORTH,Citizen Web Intake App,Closed,2023,3,53
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2023,4,53
General Inquiry - Transportation,SOUTH,Find It Fix It Apps,Closed,2021,4,53
Street Sign Maintenance,SOUTH,Find It Fix It Apps,Reported,2023,6,53
General Inquiry - Transportation,NORTH,Find It Fix It Apps,Closed,2025,2,53
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2024,9,53
Parks and Recreation Maintenance,SOUTH,Find It Fix It Apps,Reported,2022,1,53
Graffiti,WEST,PremierOne CSR Mobile Apps,Closed,2023,7,53
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2024,10,53
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2024,10,53
Abandoned Vehicle/72hr Parking Ordinance,EAST,Citizen Web Intake App,Closed,2025,1,53
Overgrown Vegetation,WEST,Find It Fix It Apps,Closed,2022,10,53
Overgrown Vegetation,SOUTHWEST,Find It Fix It Apps,Closed,2022,11,53
Graffiti,SOUTHWEST,Find It Fix It Apps,Closed,2021,10,53
Parking Enforcement,EAST,Citizen Web Intake App,Closed,2024,10,53
Overgrown Vegetation,SOUTH,Find It Fix It Apps,Closed,2024,1,53
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Closed,2025,3,53
Clogged Storm Drain,NORTH,Find It Fix It Apps,Closed,2021,9,53
Clogged Storm Drain,WEST,Find It Fix It Apps,Closed,2023,9,53
Graffiti,EAST,Find It Fix It Apps,Closed,2023,4,53
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Duplicate (Closed),2023,12,53
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Closed,2022,7,53
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Phone,Closed,2025,4,53
General Inquiry - Transportation,WEST,Find It Fix It Apps,Closed,2021,9,53
Graffiti,EAST,Find It Fix It Apps,Reported,2025,3,53
Overgrown Vegetation,SOUTHWEST,Find It Fix It Apps,Closed,2021,5,53
Bicycle Facility Maintenance,EAST,Find It Fix It Apps,New,2024,12,53
General Inquiry - Transportation,WEST,Find It Fix It Apps,Closed,2021,12,53
Parking Enforcement,SOUTH,Find It Fix It Apps,Closed,2023,6,53
Pothole,WEST,Citizen Web Intake App,Reported,2023,1,53
General Inquiry - City Light,NORTH,Citizen Web Intake App,Closed,2024,6,53
General Inquiry - Transportation,NORTH,E-Mail,Closed,2023,8,53
Parking Enforcement,SOUTHWEST,Find It Fix It Apps,Closed,2023,1,53
Illegal Dumping / Needles,WEST,Find It Fix It Apps,Duplicate (Closed),2022,2,53
Streetlight Maintenance,NORTH,Citizen Web Intake App,Reported,2021,5,53
General Inquiry - Transportation,EAST,Find It Fix It Apps,Closed,2022,11,53
Street Sign Maintenance,SOUTHWEST,Find It Fix It Apps,Reported,2024,8,53
Parking Enforcement,SOUTHWEST,Citizen Web Intake App,Closed,2021,4,53
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2023,3,53
Streetlight Maintenance,WEST,Find It Fix It Apps,Reported,2022,8,53
General Inquiry - City Light,NORTH,Find It Fix It Apps,Closed,2024,6,53
Unauthorized Encampment,SOUTH,Citizen Web Intake App,Closed,2024,4,53
Street Sign Maintenance,SOUTHWEST,Find It Fix It Apps,Reported,2025,3,53
Unauthorized Encampment,EAST,Citizen Web Intake App,Closed,2023,5,53
Traffic Signal Maintenance,NORTH,Find It Fix It Apps,Reported,2023,9,53
Unauthorized Encampment,SOUTH,Citizen Web Intake App,Closed,2022,9,53
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2022,11,52
Street Sign Maintenance,SOUTH,Find It Fix It Apps,Reported,2025,1,52
General Inquiry - Transportation,NORTH,Citizen Web Intake App,Closed,2024,1,52
Scooter or Bike Share Issue,NORTH,Citizen Web Intake App,Closed,2024,8,52
General Inquiry - City Light,NORTH,Find It Fix It Apps,Closed,2021,11,52
General Inquiry - Customer Service Bureau,NORTH,Citizen Web Intake App,Transferred to Other Dept,2023,12,52
Streetlight Maintenance,NORTH,Citizen Web Intake App,Reported,2022,4,52
Streetlight Maintenance,WEST,Find It Fix It Apps,Reported,2024,12,52
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2022,8,52
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Duplicate (Closed),2025,2,52
Abandoned Vehicle/72hr Parking Ordinance,WEST,Citizen Web Intake App,Closed,2022,10,52
Scooter or Bike Share Issue,EAST,Find It Fix It Apps,Closed,2021,6,52
Clogged Storm Drain,NORTH,Find It Fix It Apps,Closed,2025,3,52
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Closed,2024,6,52
Street Sign Maintenance,SOUTH,Find It Fix It Apps,Reported,2023,11,52
Scooter or Bike Share Issue,WEST,Find It Fix It Apps,Closed,2022,1,52
General Inquiry - City Light,EAST,Citizen Web Intake App,Closed,2022,3,52
Pothole,SOUTH,Citizen Web Intake App,Reported,2022,3,52
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2022,9,52
Parking Enforcement,SOUTH,Find It Fix It Apps,Reported,2024,8,52
Graffiti,WEST,PremierOne CSR Mobile Apps,Closed,2021,8,52
Graffiti,SOUTHWEST,Find It Fix It Apps,Reported,2024,12,52
Public Litter and Recycling Cans,NORTH,Find It Fix It Apps,Closed,2023,9,52
Overgrown Vegetation,WEST,Find It Fix It Apps,Closed,2023,1,52
General Inquiry - City Light,EAST,Citizen Web Intake App,Closed,2021,7,52
Pothole,SOUTHWEST,Citizen Web Intake App,Reported,2022,4,52
Graffiti,WEST,PremierOne CSR Mobile Apps,Closed,2024,1,52
Parking Enforcement,EAST,Citizen Web Intake App,Closed,2024,2,52
Graffiti,SOUTHWEST,Find It Fix It Apps,Reported,2021,11,52
Overgrown Vegetation,SOUTH,Find It Fix It Apps,Closed,2023,11,52
Public Litter and Recycling Cans,EAST,Find It Fix It Apps,Closed,2024,8,52
Parking Enforcement,NORTH,Find It Fix It Apps,Transferred to Other Dept,2021,11,52
Graffiti,EAST,PremierOne CSR Mobile Apps,Closed,2021,2,52
Overgrown Vegetation,SOUTH,Find It Fix It Apps,Closed,2022,12,52
Scooter or Bike Share Issue,SOUTHWEST,Find It Fix It Apps,Closed,2022,5,52
Overgrown Vegetation,WEST,Find It Fix It Apps,Closed,2022,11,52
Illegal Dumping / Needles,NORTH,Citizen Web Intake App,Closed,2023,4,52
Parks and Recreation Maintenance,SOUTHWEST,Find It Fix It Apps,Reported,2021,9,52
Illegal Dumping / Needles,NORTH,Citizen Web Intake App,Closed,2024,1,52
Overgrown Vegetation,EAST,Find It Fix It Apps,Closed,2024,3,52
Parking Enforcement,NORTH,Find It Fix It Apps,Closed as Duplicate,2023,10,52
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2024,11,52
Illegal Dumping / Needles,WEST,Find It Fix It Apps,Duplicate (Closed),2022,4,52
General Inquiry - Customer Service Bureau,WEST,Citizen Web Intake App,Reported,2022,4,52
Overgrown Vegetation,SOUTH,Find It Fix It Apps,Closed,2023,4,52
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Citizen Web Intake App,Closed,2022,9,52
General Inquiry - Transportation,SOUTH,Find It Fix It Apps,Closed,2022,12,52
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2024,6,52
Overgrown Vegetation,SOUTHWEST,Find It Fix It Apps,Closed,2022,12,52
Graffiti,SOUTH,Find It Fix It Apps,Closed,2025,4,52
Graffiti,WEST,PremierOne CSR Mobile Apps,Closed,2021,7,52
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Closed,2022,11,52
Unauthorized Encampment,WEST,Citizen Web Intake App,Closed,2023,11,52
General Inquiry - City Light,WEST,Citizen Web Intake App,Closed,2022,9,52
Parking Enforcement,WEST,Find It Fix It Apps,Reported,2024,11,52
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2023,10,52
Scooter or Bike Share Issue,NORTH,Find It Fix It Apps,Closed,2021,5,52
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2022,11,52
Public Litter and Recycling Cans,NORTH,Find It Fix It Apps,Closed,2024,3,52
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed as Duplicate,2024,12,52
Scooter or Bike Share Issue,NORTH,Find It Fix It Apps,Closed,2023,6,52
Streetlight Maintenance,NORTH,Find It Fix It Apps,Reported,2024,3,52
Streetlight Maintenance,NORTH,Citizen Web Intake App,Reported,2023,5,52
Scooter or Bike Share Issue,WEST,Citizen Web Intake App,Closed,2022,10,52
Unauthorized Encampment,NORTH,Voice Mail,Closed,2023,8,52
Parking Enforcement,WEST,Citizen Web Intake App,Closed,2024,12,51
Illegal Dumping / Needles,WEST,Citizen Web Intake App,Closed,2021,3,51
Graffiti,WEST,PremierOne CSR Mobile Apps,Closed,2023,12,51
Streetlight Maintenance,WEST,Find It Fix It Apps,Reported,2024,11,51
Overgrown Vegetation,SOUTH,Find It Fix It Apps,Closed,2021,10,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2022,12,51
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Closed,2024,12,51
Unauthorized Encampment,NORTH,Voice Mail,Closed,2022,9,51
Illegal Dumping / Needles,WEST,Find It Fix It Apps,Duplicate (Closed),2023,8,51
Street Sign Maintenance,SOUTH,Find It Fix It Apps,Reported,2024,1,51
General Inquiry - Transportation,SOUTH,Find It Fix It Apps,Closed,2022,8,51
Overgrown Vegetation,NORTH,Find It Fix It Apps,Closed,2025,1,51
Parking Enforcement,SOUTHWEST,Find It Fix It Apps,Reported,2022,12,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2023,11,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2023,1,51
Street Sign Maintenance,SOUTH,Find It Fix It Apps,Reported,2025,2,51
Unauthorized Encampment,WEST,Find It Fix It Apps,Open,2025,1,51
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2024,7,51
General Inquiry - Transportation,EAST,Find It Fix It Apps,Closed,2021,4,51
Illegal Dumping / Needles,EAST,Find It Fix It Apps,Duplicate (Closed),2025,4,51
Street Sign and Traffic Signal Maintenance,SOUTHWEST,Find It Fix It Apps,Reported,2023,2,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Citizen Web Intake App,Closed,2023,12,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Citizen Web Intake App,Closed,2023,2,51
Pothole,SOUTHWEST,Find It Fix It Apps,Reported,2023,6,51
General Inquiry - Customer Service Bureau,SOUTH,Citizen Web Intake App,Reported,2022,5,51
General Inquiry - Transportation,WEST,Find It Fix It Apps,Closed,2021,4,51
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Closed,2024,11,51
Pothole,NORTH,Citizen Web Intake App,Reported,2024,2,51
Graffiti,SOUTH,Find It Fix It Apps,Closed,2022,8,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Citizen Web Intake App,Closed,2024,11,51
Graffiti,SOUTH,Find It Fix It Apps,Reported,2023,12,51
General Inquiry - Transportation,NORTH,Phone,Closed,2022,9,51
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2024,7,51
General Inquiry - Transportation,WEST,E-Mail,Closed,2024,3,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2024,3,51
Graffiti,EAST,Find It Fix It Apps,Reported,2023,12,51
General Inquiry - Transportation,NORTH,E-Mail,Closed,2024,4,51
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2024,9,51
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2023,7,51
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Reported,2024,9,51
Clogged Storm Drain,SOUTH,Find It Fix It Apps,Closed,2023,12,51
Graffiti,SOUTH,Find It Fix It Apps,Reported,2021,10,51
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2022,7,51
General Inquiry - Transportation,EAST,Find It Fix It Apps,Closed,2021,8,51
General Inquiry - Customer Service Bureau,SOUTH,Find It Fix It Apps,Closed,2022,4,51
General Inquiry - Customer Service Bureau,SOUTHWEST,Find It Fix It Apps,Reported,2022,7,51
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2022,5,51
General Inquiry - Transportation,EAST,E-Mail,Closed,2024,4,51
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,New,2024,10,51
General Inquiry - City Light,NORTH,Citizen Web Intake App,Closed,2023,6,51
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2023,6,51
General Inquiry - Customer Service Bureau,SOUTH,Find It Fix It Apps,Reported,2022,7,51
Graffiti,NORTH,Find It Fix It Apps,Duplicate (Closed),2024,2,51
Graffiti,NORTH,PremierOne CSR Mobile Apps,Closed,2023,5,51
Parking Enforcement,EAST,Citizen Web Intake App,Closed,2024,11,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2023,7,51
Graffiti,NORTH,Find It Fix It Apps,Duplicate (Closed),2024,5,51
General Inquiry - Transportation,NORTH,Citizen Web Intake App,Closed,2021,10,51
Public Litter and Recycling Cans,NORTH,Find It Fix It Apps,Closed,2023,5,51
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2023,6,51
Graffiti,WEST,Find It Fix It Apps,Closed as Duplicate,2023,10,51
Pothole,WEST,Find It Fix It Apps,Reported,2022,10,51
Parking Enforcement,SOUTHWEST,Find It Fix It Apps,Transferred to Other Dept,2022,9,51
Abandoned Vehicle/72hr Parking Ordinance,EAST,Phone,Closed,2023,1,51
General Inquiry - Transportation,NORTH,Citizen Web Intake App,Closed,2024,2,51
Streetlight Maintenance,SOUTH,Find It Fix It Apps,Reported,2022,1,51
Parking Enforcement,NORTH,Find It Fix It Apps,Closed as Duplicate,2021,10,51
General Inquiry - Transportation,NORTH,Citizen Web Intake App,Closed,2024,5,51
Parks and Recreation Maintenance,SOUTH,Find It Fix It Apps,Reported,2022,3,51
Overgrown Vegetation,SOUTH,Find It Fix It Apps,Closed,2022,11,51
Unauthorized Encampment,SOUTH,Citizen Web Intake App,Closed,2023,5,51
Illegal Dumping / Needles,EAST,Citizen Web Intake App,Closed,2022,7,51
Graffiti,SOUTHWEST,Find It Fix It Apps,Closed,2023,6,50
General Inquiry - Customer Service Bureau,NORTH,Find It Fix It Apps,Reported,2021,5,50
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2021,10,50
Parking Enforcement,SOUTH,Find It Fix It Apps,Transferred to Other Dept,2022,4,50
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Phone,Closed,2024,2,50
General Inquiry - Transportation,NORTH,Citizen Web Intake App,Closed,2023,3,50
Unauthorized Encampment,EAST,Citizen Web Intake App,Closed,2024,6,50
Overgrown Vegetation,SOUTH,Find It Fix It Apps,Closed,2024,12,50
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2022,6,50
General Inquiry - City Light,NORTH,Citizen Web Intake App,Closed,2023,8,50
General Inquiry - Transportation,NORTH,E-Mail,Closed,2023,10,50
Illegal Dumping / Needles,EAST,Find It Fix It Apps,Duplicate (Closed),2022,8,50
General Inquiry - City Light,EAST,Citizen Web Intake App,Closed,2021,10,50
General Inquiry - Transportation,SOUTH,Find It Fix It Apps,Closed,2021,2,50
Parking Enforcement,WEST,Find It Fix It Apps,Transferred to Other Dept,2022,5,50
Parking Enforcement,NORTH,Citizen Web Intake App,Reported,2024,4,50
Bicycle Facility Maintenance,WEST,Find It Fix It Apps,New,2024,12,50
Graffiti,SOUTHWEST,Find It Fix It Apps,Closed,2023,7,50
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Closed,2024,4,50
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2022,11,50
General Inquiry - Transportation,SOUTH,Find It Fix It Apps,Closed,2024,1,50
Graffiti,SOUTH,Find It Fix It Apps,Reported,2024,6,50
Pothole,SOUTH,Citizen Web Intake App,Reported,2024,2,50
Street Sign Maintenance,SOUTHWEST,Find It Fix It Apps,Reported,2023,8,50
Illegal Dumping / Needles,NORTH,Citizen Web Intake App,Closed,2024,12,50
Parking Enforcement,WEST,Find It Fix It Apps,Transferred to Other Dept,2021,10,50
Scooter or Bike Share Issue,EAST,Find It Fix It Apps,Closed,2023,2,50
Graffiti,SOUTH,Find It Fix It Apps,Closed,2021,5,50
General Inquiry - Transportation,SOUTHWEST,Find It Fix It Apps,Closed,2024,2,50
General Inquiry - Transportation,SOUTH,Find It Fix It Apps,Closed,2024,2,50
General Inquiry - Customer Service Bureau,WEST,Citizen Web Intake App,Closed,2022,5,50
Abandoned Vehicle/72hr Parking Ordinance,WEST,Citizen Web Intake App,Closed,2024,1,50
Illegal Dumping / Needles,SOUTH,Citizen Web Intake App,Closed,2021,4,50
Pothole,NORTH,Citizen Web Intake App,Reported,2022,2,50
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2021,10,50
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2024,9,50
Parking Enforcement,NORTH,Find It Fix It Apps,Closed as Duplicate,2023,7,50
Graffiti,EAST,Find It Fix It Apps,Closed,2022,11,50
Graffiti,SOUTH,PremierOne CSR Mobile Apps,Closed,2022,1,50
Abandoned Vehicle/72hr Parking Ordinance,SOUTH,Citizen Web Intake App,Closed,2021,10,50
Traffic Signal Maintenance,WEST,Find It Fix It Apps,Reported,2024,3,50
Overgrown Vegetation,NORTH,Find It Fix It Apps,Closed,2022,3,50
General Inquiry - City Light,WEST,Citizen Web Intake App,Closed,2024,7,50
General Inquiry - Transportation,EAST,Find It Fix It Apps,Closed,2022,6,50
Street Sign Maintenance,SOUTH,Find It Fix It Apps,Reported,2024,12,50
Dead Animal,NORTH,Find It Fix It Apps,Closed,2023,5,50
General Inquiry - Customer Service Bureau,NORTH,Citizen Web Intake App,Closed,2021,4,50
Dead Animal,NORTH,Find It Fix It Apps,Closed,2024,7,50
Traffic Signal Maintenance,WEST,Find It Fix It Apps,Reported,2023,7,50
General Inquiry - Customer Service Bureau,EAST,Find It Fix It Apps,Reported,2024,7,50
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2024,10,50
General Inquiry - City Light,EAST,Citizen Web Intake App,Closed,2021,9,50
Scooter or Bike Share Issue,WEST,Find It Fix It Apps,Closed,2021,1,50
Streetlight Maintenance,EAST,Find It Fix It Apps,Reported,2024,12,50
Dead Animal,NORTH,Find It Fix It Apps,Closed,2023,10,50
Public Litter and Recycling Cans,WEST,Find It Fix It Apps,Closed,2024,9,50
Scooter or Bike Share Issue,WEST,Find It Fix It Apps,Closed,2022,12,49
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Open,2025,3,49
Graffiti,SOUTH,Find It Fix It Apps,Reported,2023,11,49
Illegal Dumping / Needles,EAST,Citizen Web Intake App,Closed,2021,3,49
Streetlight Maintenance,EAST,Find It Fix It Apps,Reported,2022,1,49
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Reported,2021,7,49
Clogged Storm Drain,SOUTH,Find It Fix It Apps,Closed,2022,11,49
Scooter or Bike Share Issue,SOUTHWEST,Find It Fix It Apps,Closed,2022,10,49
Illegal Dumping / Needles,SOUTH,Find It Fix It Apps,Duplicate (Closed),2021,7,49
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Citizen Web Intake App,Closed,2022,11,49
Scooter or Bike Share Issue,NORTH,Find It Fix It Apps,Closed,2024,4,49
Parking Enforcement,WEST,Citizen Web Intake App,Closed,2024,3,49
Illegal Dumping / Needles,WEST,Citizen Web Intake App,Closed,2021,8,49
Graffiti,EAST,Find It Fix It Apps,Open,2025,3,49
General Inquiry - Customer Service Bureau,NORTH,Citizen Web Intake App,Closed,2021,7,49
Parks and Recreation Maintenance,WEST,Find It Fix It Apps,Open,2025,2,49
Pothole,SOUTHWEST,Find It Fix It Apps,Reported,2023,9,49
Illegal Dumping / Needles,NORTH,Phone,Closed,2021,5,49
General Inquiry - Transportation,NORTH,E-Mail,Closed,2021,9,49
Graffiti,SOUTH,Find It Fix It Apps,Reported,2024,12,49
Overgrown Vegetation,WEST,Find It Fix It Apps,Closed,2024,4,49
Abandoned Vehicle/72hr Parking Ordinance,WEST,Phone,Closed,2024,8,49
General Inquiry - Customer Service Bureau,WEST,Find It Fix It Apps,Reported,2024,11,49
Parking Enforcement,NORTH,Citizen Web Intake App,Reported,2023,7,49
Pothole,WEST,Citizen Web Intake App,Reported,2024,1,49
Parking Enforcement,EAST,Find It Fix It Apps,Reported,2024,10,49
Abandoned Vehicle/72hr Parking Ordinance,SOUTHWEST,Phone,Closed,2023,2,49
General Inquiry - Transportation,SOUTH,Find It Fix It Apps,Closed,2024,5,49
Parking Enforcement,NORTH,Find It Fix It Apps,Closed as Duplicate,2024,3,49
Dead Animal,NORTH,Find It Fix It Apps,Closed,2024,11,49
