Hour,Service_Request_Type,Number_of_Requests
19,Abandoned Vehicle/72hr Parking Ordinance,5424
19,ADA Request (Transportation),14
19,Animal Noise,115
19,Bicycle Facility Maintenance,38
19,Business Related Complaint,36
19,Business Violation of Public Health Requirements,13
19,Clogged Storm Drain,308
19,Damaged Sidewalk,79
19,Dead Animal,220
19,Feedback about the Customer Service Requests Portal,7
19,"Feedback about the Find It, Fix It mobile app",3
19,Found a Pet,45
19,General Inquiry - Animal Shelter,133
19,General Inquiry - City Light,534
19,General Inquiry - Customer Service Bureau,2683
19,General Inquiry - Police Department,233
19,General Inquiry - Public Utilities,141
19,General Inquiry - Transportation,459
19,Graffiti,3476
19,Illegal Dumping / Needles,3884
19,Internet/Cable Issue,32
19,Lost a Pet,48
19,Nightlife Noise Complaint,41
19,Nuisance dogs in a park,56
19,Overgrown Vegetation,1063
19,Parking Enforcement,5274
19,Parks and Recreation Maintenance,1040
19,Pollution Report Form,13
19,Pothole,1707
19,Public Garage or Parking Lot Complaint,11
19,Public Litter and Recycling Cans,243
19,Safe Routes to School,7
19,Scooter or Bike Share Issue,626
19,Seattle Center,37
19,Snow and Ice,4
19,Street Sign and Traffic Signal Maintenance,809
19,Street Sign Maintenance,447
19,Streetlight Maintenance,1289
19,"Taxi, TNC, or Limousine Complaint or Compliment",19
19,Towing Complaint - Public Impound,10
19,Towing Impound Complaint,18
19,Traffic Calming,12
19,Traffic Signal Maintenance,292
19,Unauthorized Encampment,4429
19,Wireless or Small Cell Issue,1
20,Abandoned Vehicle/72hr Parking Ordinance,4809
20,ADA Request (Transportation),5
20,Animal Noise,126
20,Bicycle Facility Maintenance,13
20,Business Related Complaint,30
20,Business Violation of Public Health Requirements,16
20,Clogged Storm Drain,235
20,Damaged Sidewalk,81
20,Dead Animal,156
20,Feedback about the Customer Service Requests Portal,4
20,"Feedback about the Find It, Fix It mobile app",9
20,Found a Pet,41
20,General Inquiry - Animal Shelter,138
20,General Inquiry - City Light,552
20,General Inquiry - Customer Service Bureau,2331
20,General Inquiry - Police Department,243
20,General Inquiry - Public Utilities,256
20,General Inquiry - Transportation,407
20,Graffiti,2764
20,Illegal Dumping / Needles,3165
20,Internet/Cable Issue,44
20,Lost a Pet,53
20,Nightlife Noise Complaint,71
20,Nuisance dogs in a park,49
20,Overgrown Vegetation,981
20,Parking Enforcement,4482
20,Parks and Recreation Maintenance,745
20,Pollution Report Form,12
20,Pothole,1608
20,Public Garage or Parking Lot Complaint,7
20,Public Litter and Recycling Cans,199
20,Safe Routes to School,11
20,Scooter or Bike Share Issue,563
20,Seattle Center,38
20,Snow and Ice,2
20,Street Sign and Traffic Signal Maintenance,706
20,Street Sign Maintenance,358
20,Streetlight Maintenance,1431
20,"Taxi, TNC, or Limousine Complaint or Compliment",23
20,Towing Complaint - Public Impound,14
20,Towing Impound Complaint,16
20,Traffic Calming,10
20,Traffic Signal Maintenance,212
20,Unauthorized Encampment,3638
20,ZZDONOTUSE - For Testing Only,1
21,Abandoned Vehicle/72hr Parking Ordinance,3467
21,ADA Request (Transportation),13
21,Animal Noise,111
21,Bicycle Facility Maintenance,30
21,Business Related Complaint,31
21,Business Violation of Public Health Requirements,4
21,Clogged Storm Drain,181
21,Damaged Sidewalk,60
21,Dead Animal,149
21,Feedback about the Customer Service Requests Portal,5
21,"Feedback about the Find It, Fix It mobile app",5
21,Found a Pet,30
21,General Inquiry - Animal Shelter,101
21,General Inquiry - City Light,472
21,General Inquiry - Customer Service Bureau,1773
21,General Inquiry - Police Department,233
21,General Inquiry - Public Utilities,276
21,General Inquiry - Transportation,373
21,Graffiti,2281
21,Illegal Dumping / Needles,2251
21,Internet/Cable Issue,42
21,Lost a Pet,40
21,Nightlife Noise Complaint,80
21,Nuisance dogs in a park,14
21,Overgrown Vegetation,606
21,Parking Enforcement,3351
21,Parks and Recreation Maintenance,491
21,Pollution Report Form,7
21,Pothole,1227
21,Public Garage or Parking Lot Complaint,11
21,Public Litter and Recycling Cans,136
21,Safe Routes to School,4
21,Scooter or Bike Share Issue,503
21,Seattle Center,35
21,Snow and Ice,2
21,Street Sign and Traffic Signal Maintenance,477
21,Street Sign Maintenance,261
21,Streetlight Maintenance,1584
21,"Taxi, TNC, or Limousine Complaint or Compliment",25
21,Towing Complaint - Public Impound,5
21,Towing Impound Complaint,9
21,Traffic Calming,10
21,Traffic Signal Maintenance,214
21,Unauthorized Encampment,2974
21,Wireless or Small Cell Issue,2
22,Abandoned Vehicle/72hr Parking Ordinance,2303
22,ADA Request (Transportation),5
22,Animal Noise,107
22,Bicycle Facility Maintenance,16
22,Business Related Complaint,19
22,Business Violation of Public Health Requirements,11
22,Clogged Storm Drain,140
22,Damaged Sidewalk,73
22,Dead Animal,114
22,Feedback about the Customer Service Requests Portal,2
22,"Feedback about the Find It, Fix It mobile app",2
22,Found a Pet,23
22,General Inquiry - Animal Shelter,83
22,General Inquiry - City Light,352
22,General Inquiry - Customer Service Bureau,1252
22,General Inquiry - Police Department,178
22,General Inquiry - Public Utilities,143
22,General Inquiry - Transportation,310
22,Graffiti,1633
22,Illegal Dumping / Needles,1490
22,Internet/Cable Issue,27
22,Lost a Pet,45
22,Nightlife Noise Complaint,385
22,Nuisance dogs in a park,7
22,Overgrown Vegetation,361
22,Parking Enforcement,2284
22,Parks and Recreation Maintenance,323
22,Pollution Report Form,3
22,Pothole,859
22,Public Garage or Parking Lot Complaint,5
22,Public Litter and Recycling Cans,107
22,Safe Routes to School,9
22,Scooter or Bike Share Issue,385
22,Seattle Center,13
22,Snow and Ice,2
22,Street Sign and Traffic Signal Maintenance,378
22,Street Sign Maintenance,215
22,Streetlight Maintenance,953
22,"Taxi, TNC, or Limousine Complaint or Compliment",15
22,Towing Complaint - Public Impound,7
22,Towing Impound Complaint,11
22,Traffic Calming,7
22,Traffic Signal Maintenance,145
22,Unauthorized Encampment,2122
22,ZZ-Baseline Testing Only,2
23,Abandoned Vehicle/72hr Parking Ordinance,1345
23,ADA Request (Transportation),4
23,Animal Noise,53
23,Bicycle Facility Maintenance,11
23,Business Related Complaint,14
23,Business Violation of Public Health Requirements,6
23,Clogged Storm Drain,73
23,Damaged Sidewalk,28
23,Dead Animal,61
23,Feedback about the Customer Service Requests Portal,2
23,"Feedback about the Find It, Fix It mobile app",1
23,Found a Pet,17
23,General Inquiry - Animal Shelter,43
23,General Inquiry - City Light,216
23,General Inquiry - Customer Service Bureau,784
23,General Inquiry - Police Department,121
23,General Inquiry - Public Utilities,43
23,General Inquiry - Transportation,186
23,Graffiti,859
23,Illegal Dumping / Needles,889
23,Internet/Cable Issue,21
23,Lost a Pet,36
23,Nightlife Noise Complaint,399
23,Nuisance dogs in a park,7
23,Overgrown Vegetation,197
23,Parking Enforcement,1310
23,Parks and Recreation Maintenance,184
23,Pollution Report Form,7
23,Pothole,522
23,Public Garage or Parking Lot Complaint,4
23,Public Litter and Recycling Cans,60
23,Safe Routes to School,3
23,Scooter or Bike Share Issue,199
23,Seattle Center,21
23,Snow and Ice,2
23,Street Sign and Traffic Signal Maintenance,204
23,Street Sign Maintenance,116
23,Streetlight Maintenance,507
23,"Taxi, TNC, or Limousine Complaint or Compliment",19
23,Towing Complaint - Public Impound,3
23,Towing Impound Complaint,15
23,Traffic Calming,3
23,Traffic Signal Maintenance,95
23,Unauthorized Encampment,1215
23,Wireless or Small Cell Issue,11
